currentGold,goldPerSecond,jungleMinionsKilled,level,minionsKilled,participantId,timeEnemySpentControlled,totalGold,xp,summonerName,timestamp,gameId,abilityHaste,abilityPower,armor,armorPen,armorPenPercent,attackDamage,attackSpeed,bonusArmorPenPercent,bonusMagicPenPercent,ccReduction,cooldownReduction,health,healthMax,healthRegen,lifesteal,magicPen,magicPenPercent,magicResist,movementSpeed,omnivamp,physicalVamp,power,powerMax,powerRegen,spellVamp,magicDamageDone,magicDamageDoneToChampions,magicDamageTaken,physicalDamageDone,physicalDamageDoneToChampions,physicalDamageTaken,totalDamageDone,totalDamageDoneToChampions,totalDamageTaken,trueDamageDone,trueDamageDoneToChampions,trueDamageTaken,positionX,positionY
532,20,0,3,0,10,13345,1032,683,BLG ON,4.001016666666667,2677225,0,26,42,0,0,50,103,0,0,0,0,644,734,13,0,0,0,31,330,0,0,36,596,29,0,1251,833,61,811,283,300,2062,1116,361,0,0,0,11682,1839
376,0,20,3,0,2,123039,1251,1001,JDG Kanavi,4.001016666666667,2677225,0,0,46,0,0,65,111,0,0,6,0,793,829,26,0,0,0,43,350,0,0,431,469,127,0,4853,0,0,4336,0,1742,12965,0,1742,3776,0,0,7994,9346
741,0,0,4,29,3,23510,1241,1488,JDG knight,4.001016666666667,2677225,0,0,33,0,0,77,106,0,0,0,0,443,925,22,0,0,0,40,335,0,0,136,601,15,0,245,161,654,5922,626,382,6167,788,1051,0,0,14,7511,7801
675,0,0,3,20,4,3812,1175,889,JDG Ruler,4.001016666666667,2677225,0,0,38,0,0,76,110,0,0,0,0,301,777,8,0,0,0,31,325,0,0,121,333,16,0,53,53,331,3775,95,583,3828,148,925,0,0,10,9996,905
269,20,0,2,3,5,7018,849,560,JDG MISSING,4.001016666666667,2677225,0,14,39,0,0,64,102,0,0,20,0,319,711,114,0,0,0,41,308,0,0,223,351,18,0,122,122,714,436,185,778,1120,308,1493,560,0,0,10103,1379
98,0,0,4,19,6,19064,1148,1386,BLG Bin,4.001016666666667,2677225,0,0,45,0,0,83,122,0,0,5,0,999,999,27,0,0,0,69,350,0,0,449,456,18,0,1618,349,996,3680,411,289,5298,761,1285,0,0,0,1928,11797
642,0,16,3,0,7,55635,1142,792,BLG XUN,4.001016666666667,2677225,0,9,52,0,0,68,103,0,0,0,0,663,795,20,0,0,0,35,335,0,0,194,438,85,0,6054,121,0,2570,0,1698,12027,132,1698,3402,10,0,11191,6904
807,0,0,4,29,8,20760,1307,1446,BLG Yagao,4.001016666666667,2677225,0,24,41,0,0,60,114,0,0,0,0,469,868,15,0,0,0,32,330,0,0,201,735,19,0,3064,654,161,3796,261,726,9261,930,888,2399,14,0,8491,8152
702,0,0,3,21,9,3583,1202,683,BLG Elk,4.001016666666667,2677225,0,0,38,0,0,86,113,0,0,0,0,478,730,8,0,0,0,31,325,0,0,112,409,14,0,170,91,114,4588,1001,426,4758,1092,541,0,0,0,11595,1810
467,0,0,5,32,1,75578,1522,2075,JDG 369,5.001416666666667,2677225,0,42,58,0,0,74,106,0,0,0,0,1048,1076,14,0,0,0,38,330,0,0,714,1085,16,0,5090,1465,514,3465,142,757,8556,1607,1271,0,0,0,3091,12712
26,20,0,4,0,10,31853,1226,1140,BLG ON,5.001416666666667,2677225,0,26,46,0,0,52,105,0,0,0,0,954,954,14,0,0,0,32,355,0,0,646,704,30,0,2385,982,121,1358,321,461,3743,1304,582,0,0,0,13273,10011
660,0,27,4,0,2,195937,1535,1329,JDG Kanavi,5.001416666666667,2677225,0,0,50,0,0,68,112,0,0,6,0,736,921,19,0,0,0,44,350,0,0,427,506,142,0,9496,0,0,6399,0,2485,22745,0,2485,6850,0,0,8156,2339
1071,0,0,5,38,3,23510,1571,2010,JDG knight,5.001416666666667,2677225,0,0,37,0,0,80,109,0,0,0,0,456,1021,23,0,0,0,42,335,0,0,162,639,16,0,245,161,957,7949,626,418,8195,788,1397,0,0,21,6805,7069
237,0,0,4,27,4,3812,1437,1299,JDG Ruler,5.001416666666667,2677225,0,0,42,0,0,93,140,0,0,0,0,835,856,9,0,0,0,32,350,0,0,293,373,17,0,53,53,331,5038,95,583,5091,148,925,0,0,10,11105,1608
84,20,0,3,5,5,7018,1019,793,JDG MISSING,5.001416666666667,2677225,0,14,43,0,0,67,104,0,0,5,0,778,786,17,0,0,0,43,360,0,0,300,388,18,0,182,182,864,506,185,825,1417,368,1690,727,0,0,4053,994
386,0,0,5,25,6,20099,1436,1850,BLG Bin,5.001416666666667,2677225,0,0,48,0,0,86,130,0,0,13,0,754,1096,58,0,0,0,71,209,0,0,304,499,19,0,2328,514,1465,4495,511,335,6823,1025,1800,0,0,0,4502,13719
1059,0,28,4,0,7,95878,1559,1327,BLG XUN,5.001416666666667,2677225,0,9,56,0,0,71,104,0,0,0,0,598,881,13,0,0,0,36,335,0,0,462,472,118,0,9648,121,349,4588,0,2487,19335,132,2837,5097,10,0,8443,11523
695,0,0,5,41,8,33649,1630,2125,BLG Yagao,5.001416666666667,2677225,0,44,45,0,0,62,116,0,0,0,0,705,954,16,0,0,0,34,330,0,0,157,858,20,0,5398,957,161,5209,261,765,15620,1240,927,5011,21,0,14340,14391
131,0,0,3,33,9,29882,1581,1078,BLG Elk,5.001416666666667,2677225,0,0,38,0,0,115,113,0,0,0,0,730,730,8,0,0,0,31,325,0,0,318,409,14,0,575,91,114,7388,1001,582,7964,1092,697,0,0,0,13313,6147
709,0,0,6,38,1,110840,1764,2536,JDG 369,6.001783333333333,2677225,0,43,62,0,0,77,108,0,0,0,0,994,1170,14,0,0,0,40,330,0,0,213,1125,18,0,9086,2664,766,4389,344,1234,13476,3008,2000,0,0,0,3069,12890
561,20,0,4,0,10,44938,1761,1507,BLG ON,6.001783333333333,2677225,0,26,46,0,0,52,105,0,0,0,0,720,954,94,0,0,0,32,355,0,0,413,754,30,0,2815,1356,298,1468,432,617,4284,1789,916,0,0,0,13949,4349
1312,0,31,4,0,2,206251,2187,1604,JDG Kanavi,6.001783333333333,2677225,0,0,50,0,0,68,112,0,0,9,0,774,924,19,0,0,0,44,315,0,0,400,506,19,0,10873,294,70,7303,167,2777,25991,462,2847,7814,0,0,13827,3952
243,0,0,6,52,3,37580,1978,2787,JDG knight,6.001783333333333,2677225,0,0,41,0,0,91,111,0,0,30,0,1050,1121,24,0,0,0,68,380,0,0,459,677,18,0,524,161,1028,12560,626,517,13084,788,1577,0,0,31,9324,6186
728,0,0,5,40,4,9397,1928,2004,JDG Ruler,6.001783333333333,2677225,0,0,46,0,0,91,176,0,0,0,0,115,939,90,0,0,0,34,461,0,0,225,414,37,0,158,158,452,8306,652,1476,8464,811,1940,0,0,10,13418,3585
415,20,0,3,7,5,12876,1355,969,JDG MISSING,6.001783333333333,2677225,0,14,43,0,0,67,104,0,0,25,0,0,786,17,0,0,0,43,360,0,0,233,388,18,0,182,182,1090,510,185,1662,1937,368,2752,1243,0,0,13008,3696
719,0,0,6,38,6,25049,1769,2670,BLG Bin,6.001783333333333,2677225,0,0,52,0,0,90,123,0,0,25,0,83,1196,127,0,0,0,73,350,0,0,115,624,20,0,3713,766,2664,7289,914,775,11002,1680,3439,0,0,0,4650,13205
217,0,31,4,0,7,106144,1767,1515,BLG XUN,6.001783333333333,2677225,0,9,56,0,0,71,104,0,0,0,0,1231,1231,13,0,0,0,36,335,0,0,472,472,114,0,11537,121,349,4889,0,2799,22600,132,3148,6174,10,0,12491,11076
420,0,0,6,53,8,66991,2015,2742,BLG Yagao,6.001783333333333,2677225,0,64,49,0,0,65,117,0,0,0,0,1024,1043,17,0,0,0,35,330,0,0,517,918,22,0,8755,1028,161,6087,303,829,19864,1363,991,5021,31,0,8992,7531
560,0,0,4,42,9,70734,2010,1474,BLG Elk,6.001783333333333,2677225,0,0,41,0,0,114,123,0,0,0,0,0,811,8,0,0,0,32,325,0,0,253,443,14,0,1300,134,337,11756,1518,1276,13057,1653,1613,0,0,0,14116,4495
94,0,0,6,48,1,116397,2099,2999,JDG 369,7.00255,2677225,0,83,62,0,0,77,108,0,0,0,0,1170,1170,14,0,0,0,40,330,0,0,888,1175,18,0,11939,2664,766,5052,344,1341,16991,3008,2107,0,0,0,1705,10424
709,20,0,4,1,10,49240,1909,1690,BLG ON,7.00255,2677225,0,26,46,0,0,52,105,0,0,0,0,818,954,14,0,0,0,32,355,0,0,418,844,30,0,3545,1749,453,2029,537,810,5575,2287,1263,0,0,0,10591,5071
114,0,31,4,0,2,210458,2314,1638,JDG Kanavi,7.00255,2677225,0,0,50,0,0,68,112,0,0,9,0,1124,1124,19,0,0,0,69,350,0,0,506,506,19,0,11027,448,335,7303,167,3070,26145,616,3406,7814,0,0,5396,4880
515,0,0,7,62,3,42216,2255,3271,JDG knight,7.00255,2677225,0,0,61,0,0,95,114,0,0,30,0,1089,1222,25,0,0,0,84,380,0,0,391,768,19,0,804,371,1339,15169,1032,567,15973,1404,1956,0,0,49,7335,7620
